Name,batter,PA,wOBA,xwOBA,sxwOBA,sxwOBA_adj,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Albert Pujols,405395,351,0.38,0.365,0.447,0.436,0.082,22.58,8.0,15.7,24,16.4,31,15,2022
Miguel Cabrera,408234,433,0.275,0.275,0.213,0.197,-0.062,-22.57,6.5,23.3,5,5.0,14,1,2022
Yadier Molina,425877,270,0.235,0.254,0.267,0.255,0.013,5.17,1.9,14.8,5,16.9,7,0,2022
Kurt Suzuki,435559,159,0.254,0.255,0.255,0.247,0.0,0.17,9.4,18.2,4,24.1,4,0,2022
Nelson Cruz,443558,507,0.292,0.32,0.309,0.293,-0.011,-3.44,9.7,23.5,10,7.2,31,1,2022
David Peralta,444482,490,0.315,0.313,0.305,0.292,-0.008,-2.56,8.4,23.3,12,15.1,28,0,2022
Evan Longoria,446334,298,0.33,0.324,0.33,0.322,0.006,1.94,9.1,27.9,14,18.2,23,7,2022
Charlie Blackmon,453568,577,0.317,0.301,0.274,0.26,-0.027,-8.87,5.5,18.9,16,12.4,19,1,2022
Martin Maldonado,455117,379,0.264,0.253,0.26,0.247,0.007,2.83,5.8,30.6,15,14.7,19,1,2022
Robinson Chirinos,455139,220,0.251,0.245,0.208,0.195,-0.037,-15.14,8.6,30.5,4,17.6,9,0,2022
Donovan Solano,456781,304,0.319,0.315,0.311,0.296,-0.004,-1.17,6.3,20.1,4,10.7,13,1,2022
Andrew McCutchen,457705,580,0.309,0.325,0.326,0.318,0.001,0.23,9.8,21.4,17,13.2,34,3,2022
Justin Turner,457759,532,0.343,0.339,0.391,0.382,0.052,15.23,9.4,16.7,13,18.4,31,5,2022
Joey Votto,458015,376,0.31,0.322,0.212,0.199,-0.11,-34.29,11.7,25.8,11,14.2,25,0,2022
Elvis Andrus,462101,577,0.31,0.293,0.319,0.304,0.026,9.0,6.8,15.9,17,11.9,20,4,2022
Carlos Santana,467793,506,0.308,0.352,0.332,0.321,-0.02,-5.72,14.0,17.4,19,15.4,32,9,2022
Brandon Belt,474832,298,0.303,0.326,0.193,0.184,-0.133,-40.73,12.4,27.2,8,23.4,22,0,2022
Jed Lowrie,476704,184,0.23,0.247,0.298,0.274,0.051,20.83,8.2,21.2,3,16.3,4,0,2022
Yuli Gurriel,493329,584,0.285,0.271,0.297,0.28,0.026,9.56,5.1,12.5,8,14.6,9,2,2022
Miguel Rojas,500743,507,0.268,0.293,0.3,0.284,0.007,2.36,5.1,12.0,6,10.1,8,1,2022
Eduardo Escobar,500871,542,0.311,0.314,0.396,0.388,0.082,26.24,7.4,23.8,20,20.6,35,11,2022
Ehire Adrianza,501303,110,0.222,0.274,0.39,0.378,0.116,42.4,10.0,22.7,0,12.6,1,1,2022
Abraham Almonte,501659,37,0.306,0.234,0.276,0.265,0.042,17.82,2.7,32.4,1,14.6,1,1,2022
Tommy Pham,502054,622,0.304,0.311,0.321,0.307,0.01,3.22,9.0,26.8,17,7.7,31,2,2022
J.D. Martinez,502110,596,0.343,0.349,0.321,0.31,-0.028,-7.95,8.7,24.3,16,14.1,49,2,2022
Paul Goldschmidt,502671,651,0.419,0.367,0.386,0.374,0.019,5.07,12.1,21.7,35,15.7,49,5,2022
Marwin Gonzalez,503556,207,0.257,0.282,0.282,0.267,-0.0,-0.17,6.8,26.1,6,19.4,8,1,2022
Sandy Leon,506702,86,0.246,0.263,0.202,0.196,-0.061,-23.06,15.1,31.4,0,21.4,0,0,2022
Jose Altuve,514888,604,0.397,0.354,0.377,0.365,0.023,6.39,10.9,14.4,28,16.1,34,5,2022
Cesar Hernandez,514917,617,0.283,0.29,0.312,0.297,0.022,7.75,7.3,18.5,1,9.3,11,1,2022
Jean Segura,516416,387,0.32,0.303,0.336,0.318,0.033,11.0,6.5,15.0,10,4.3,13,4,2022
Starling Marte,516782,505,0.355,0.336,0.382,0.367,0.046,13.75,5.1,19.2,16,7.5,25,3,2022
Charlie Culberson,518586,124,0.281,0.251,0.25,0.234,-0.001,-0.35,4.0,25.0,2,5.9,1,0,2022
Travis d'Arnaud,518595,426,0.343,0.313,0.34,0.327,0.027,8.56,4.5,21.1,18,11.8,26,3,2022
Josh Donaldson,518626,546,0.302,0.299,0.287,0.276,-0.012,-3.88,9.9,27.1,15,12.0,33,5,2022
Freddie Freeman,518692,708,0.393,0.403,0.397,0.385,-0.006,-1.51,11.9,14.4,21,13.6,52,6,2022
Yasmani Grandal,518735,376,0.263,0.29,0.271,0.258,-0.019,-6.56,12.0,21.0,5,12.1,12,1,2022
DJ LeMahieu,518934,541,0.329,0.344,0.238,0.222,-0.106,-30.76,12.4,13.1,12,3.0,21,1,2022
Mike Moustakas,519058,285,0.286,0.27,0.227,0.219,-0.043,-15.78,8.4,26.3,7,19.4,11,1,2022
Anthony Rizzo,519203,548,0.352,0.349,0.317,0.308,-0.032,-9.24,10.6,18.4,32,19.3,40,4,2022
Austin Romine,519222,136,0.193,0.195,0.237,0.222,0.042,21.29,2.9,33.8,3,9.5,4,2,2022
Giancarlo Stanton,519317,452,0.327,0.35,0.283,0.27,-0.067,-19.17,11.1,30.3,31,10.8,51,3,2022
Stephen Vogt,519390,191,0.249,0.282,0.242,0.233,-0.04,-14.01,8.9,24.1,7,21.0,10,3,2022
Salvador Perez,521692,473,0.324,0.326,0.356,0.344,0.03,9.14,3.8,23.0,23,17.8,38,7,2022
