,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
0,Miguel Cabrera,433,0.275,0.277,0.28,0.002,0.85,6.5,23.3,5,5.0,14.0,5
1,Nelson Cruz,507,0.292,0.335,0.328,-0.007,-2.18,9.7,23.5,10,7.2,31.0,10
2,David Peralta,490,0.315,0.321,0.3,-0.021,-6.56,8.4,23.3,12,15.1,28.0,0
3,Evan Longoria,298,0.33,0.336,0.337,0.0,0.12,9.1,27.9,14,18.2,23.0,15
4,Charlie Blackmon,577,0.317,0.295,0.31,0.016,5.34,5.5,18.9,16,12.4,19.0,0
5,Martin Maldonado,379,0.264,0.262,0.257,-0.005,-1.86,5.8,30.6,15,14.7,19.0,8
6,Donovan Solano,304,0.319,0.33,0.312,-0.019,-5.7,6.3,20.1,4,10.7,13.0,5
7,Andrew McCutchen,580,0.309,0.34,0.339,-0.002,-0.45,9.8,21.4,17,13.2,34.0,11
8,Justin Turner,532,0.343,0.358,0.356,-0.003,-0.72,9.4,16.7,13,18.4,31.0,14
9,Elvis Andrus,577,0.31,0.303,0.321,0.018,5.93,6.8,15.9,17,11.9,20.0,10
10,Carlos Santana,506,0.308,0.347,0.342,-0.005,-1.48,14.0,17.4,19,15.4,32.0,4
11,Brandon Belt,298,0.303,0.315,0.313,-0.002,-0.73,12.4,27.2,8,23.4,22.0,0
12,Yuli Gurriel,584,0.285,0.286,0.291,0.005,1.89,5.1,12.5,8,14.6,9.0,6
13,Miguel Rojas,507,0.268,0.296,0.299,0.003,1.16,5.1,12.0,6,10.1,8.0,5
14,Eduardo Escobar,542,0.311,0.316,0.313,-0.003,-1.01,7.4,23.8,20,20.6,35.0,11
15,Ehire Adrianza,110,0.222,0.27,0.263,-0.006,-2.32,10.0,22.7,0,12.6,1.0,0
16,Tommy Pham,622,0.304,0.322,0.316,-0.006,-1.99,9.0,26.8,17,7.7,31.0,8
17,J.D. Martinez,596,0.343,0.351,0.342,-0.009,-2.46,8.7,24.3,16,14.1,49.0,15
18,Paul Goldschmidt,651,0.419,0.397,0.397,-0.0,-0.01,12.1,21.7,35,15.7,49.0,19
19,Sandy Leon,86,0.246,0.259,0.273,0.014,5.41,15.1,31.4,0,21.4,0.0,0
20,Jean Segura,387,0.32,0.323,0.323,0.001,0.16,6.5,15.0,10,4.3,13.0,7
21,Starling Marte,505,0.355,0.347,0.34,-0.008,-2.2,5.1,19.2,16,7.5,25.0,11
22,Travis d'Arnaud,426,0.343,0.322,0.335,0.013,3.91,4.5,21.1,18,11.8,26.0,14
23,Josh Donaldson,546,0.302,0.303,0.308,0.005,1.54,9.9,27.1,15,12.0,33.0,15
24,Freddie Freeman,708,0.393,0.409,0.396,-0.012,-2.97,11.9,14.4,21,13.6,52.0,0
25,Yasmani Grandal,376,0.263,0.272,0.274,0.002,0.63,12.0,21.0,5,12.1,12.0,0
26,Jason Heyward,151,0.253,0.284,0.28,-0.004,-1.37,7.3,21.2,1,13.1,5.0,0
27,DJ LeMahieu,541,0.329,0.346,0.341,-0.005,-1.47,12.4,13.1,12,3.0,21.0,7
28,Mike Moustakas,285,0.286,0.275,0.269,-0.005,-1.95,8.4,26.3,7,19.4,11.0,0
29,Anthony Rizzo,548,0.352,0.356,0.356,-0.0,-0.05,10.6,18.4,32,19.3,40.0,0
30,Giancarlo Stanton,452,0.327,0.339,0.347,0.009,2.56,11.1,30.3,31,10.8,51.0,15
31,Salvador Perez,473,0.324,0.335,0.329,-0.005,-1.61,3.8,23.0,23,17.8,38.0,14
32,Wilmer Flores,602,0.312,0.319,0.32,0.001,0.34,9.8,17.1,19,20.7,27.0,16
33,Avisail Garcia,380,0.258,0.294,0.284,-0.01,-3.4,4.5,28.7,8,2.8,16.0,2
34,Christian Bethancourt,333,0.301,0.332,0.331,-0.001,-0.45,3.6,24.0,11,9.4,28.0,9
35,Marcell Ozuna,507,0.298,0.343,0.341,-0.002,-0.63,6.1,24.1,23,16.5,46.0,21
